更新时间: 2026-02-16 18:35:50（北京时间）

更新时间,#genre#
2026-02-16 18:35:50,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV17,http://106.59.2.102:55555/rtp/239.200.201.128:8504$云南电信
CCTV4K,http://59.175.8.151:4022/rtp/239.69.1.12:9712$湖北电信
兵器科技,http://106.118.75.108:4022/rtp/239.254.201.225:7249$河北省电信
兵器科技,http://59.175.8.151:4022/rtp/239.69.1.79:10114$湖北电信
兵器科技,http://106.59.2.102:55555/rtp/239.200.200.91:8036$云南电信
风云音乐,http://106.118.75.108:4022/rtp/239.254.201.221:7259$河北省电信
风云音乐,http://106.59.2.102:55555/rtp/239.200.200.86:8008$云南电信
风云足球,http://106.118.75.108:4022/rtp/239.254.201.222:7251$河北省电信
风云足球,http://59.175.8.151:4022/rtp/239.69.1.81:10126$湖北电信
风云足球,http://106.59.2.102:55555/rtp/239.200.200.88:8020$云南电信
风云剧场,http://106.118.75.108:4022/rtp/239.254.201.219:7257$河北省电信
风云剧场,http://106.59.2.102:55555/rtp/239.200.200.84:8016$云南电信
怀旧剧场,http://106.118.75.108:4022/rtp/239.254.201.220:7256$河北省电信
怀旧剧场,http://106.59.2.102:55555/rtp/239.200.200.85:8032$云南电信
第一剧场,http://106.118.75.108:4022/rtp/239.254.201.218:7258$河北省电信
第一剧场,http://59.175.8.151:4022/rtp/239.69.1.74:10084$湖北电信
第一剧场,http://106.59.2.102:55555/rtp/239.200.200.82:8004$云南电信
女性时尚,http://106.118.75.108:4022/rtp/239.254.201.228:7255$河北省电信
女性时尚,http://106.59.2.102:55555/rtp/239.200.200.100:8084$云南电信
世界地理,http://106.118.75.108:4022/rtp/239.254.201.226:7254$河北省电信
世界地理,http://59.175.8.151:4022/rtp/239.69.1.91:10186$湖北电信
世界地理,http://106.59.2.102:55555/rtp/239.200.200.130:8012$云南电信
央视台球,http://106.118.75.108:4022/rtp/239.254.201.171:7176$河北省电信
央视台球,http://59.175.8.151:4022/rtp/239.69.1.98:10224$湖北电信
央视台球,http://106.59.2.102:55555/rtp/239.200.200.135:8076$云南电信
高尔夫网球,http://106.118.75.108:4022/rtp/239.254.201.223:7252$河北省电信
高尔夫网球,http://59.175.8.151:4022/rtp/239.69.1.83:10138$湖北电信
高尔夫网球,http://106.59.2.102:55555/rtp/239.200.200.89:8024$云南电信
央视文化精品,http://106.118.75.108:4022/rtp/239.254.201.229:7260$河北省电信
